City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
461,Nueva Loja,EC,0.0847,-76.8828,89.62,58,75,3.44,broken clouds
462,Dingle,PH,10.9995,122.6711,74.98,91,11,1.86,few clouds
463,Petropavlovka,RU,50.6114,105.3196,-13.22,95,65,3.33,broken clouds
464,Tocopilla,CL,-22.092,-70.1979,69.55,71,7,6.62,clear sky
465,Bogorodskoye,RU,56.55,37.8833,10.81,98,97,3.4,overcast clouds
466,Fukue,JP,32.6881,128.8419,47.82,50,100,16.06,light rain
467,Rondonopolis,BR,-16.4708,-54.6356,77.27,92,100,2.48,overcast clouds
468,Rapid Valley,US,44.0625,-103.1463,56.37,17,0,1.01,clear sky
469,Novobirilyussy,RU,56.9514,90.6661,-2.85,98,88,3.89,overcast clouds
470,Votkinsk,RU,57.0486,53.9872,0.93,99,90,2.82,light snow
471,Isiro,CD,2.7739,27.616,69.13,38,94,3.44,overcast clouds
472,Salvador,SV,13.8333,-88.9167,84.6,28,51,7.67,broken clouds
473,Okakarara,NA,-20.5833,17.4333,68.94,77,100,4.61,moderate rain
474,Prince Albert,CA,53.2001,-105.7677,17.55,79,100,2.3,overcast clouds
475,Petropavl,KZ,54.8753,69.1628,3.45,91,100,5.99,overcast clouds
476,Alakurtti,RU,66.9672,30.3491,3.63,97,100,2.42,overcast clouds
477,Kalmunai,LK,7.4167,81.8167,77.09,84,24,1.34,few clouds
478,Novyy Urengoy,RU,66.0833,76.6333,-9.67,97,100,7.14,overcast clouds
479,Lae,PG,-6.7221,146.9847,75.85,87,100,7.05,overcast clouds
480,Moron,AR,-34.6534,-58.6198,85.8,49,40,8.61,scattered clouds
481,Dunkirk,FR,51.05,2.3667,51.22,78,8,1.01,clear sky
482,Manono,CD,-7.3,27.4167,70.16,95,100,2.71,light rain
483,Fort Nelson,CA,58.8053,-122.7002,9.99,85,100,5.75,snow
484,Axim,GH,4.8699,-2.2405,80.67,82,58,8.41,broken clouds
485,Mahibadhoo,MV,3.7833,72.9667,81.79,69,8,10.67,clear sky
486,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,88,75,10.85,broken clouds
487,Muravlenko,RU,63.7898,74.523,-10.39,99,100,8.75,overcast clouds
488,Whitianga,NZ,-36.8333,175.7,70.02,65,8,1.77,clear sky
489,Port Blair,IN,11.6667,92.75,77.04,88,75,2.3,mist
490,Charters Towers,AU,-20.1,146.2667,70.81,88,0,6.67,clear sky
491,Panzhihua,CN,26.5851,101.7128,42.89,54,0,1.45,clear sky
492,Moindou,NC,-21.6924,165.677,75.15,84,60,7.16,broken clouds
493,College,US,64.8569,-147.8028,-13.34,73,40,3.44,scattered clouds
494,Roma,US,43.2128,-75.4557,13.66,54,0,8.05,clear sky
495,Maksatikha,RU,57.797,35.8825,19.15,94,100,4.76,overcast clouds
496,Ekhabi,RU,53.5102,142.9671,-16.02,92,78,8.03,broken clouds
497,Arandis,NA,-22.4167,14.9667,57.47,71,52,6.93,broken clouds
498,Tombouctou,ML,20.0,-3.0,72.55,11,81,14.03,broken clouds
499,Huautla,MX,21.0333,-98.2833,49.98,77,100,2.71,overcast clouds
500,Kruisfontein,ZA,-34.0033,24.7314,66.88,86,0,6.64,clear sky
501,Korla,CN,41.7597,86.1469,23.58,55,100,4.76,overcast clouds
